comparisonId,type,status,mySiteQuestionIds,referenceQuestionIds,questionSimilarity,optionSimilarity,answerMatches,imageMatches,proposedPart,partConfidence,reason,manualReviewRequired
choice-00001,choice,EXACT_MATCH,part_①-1,part_①-1,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00002,choice,EXACT_MATCH,part_①-2,part_①-2,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00003,choice,EXACT_MATCH,part_①-3,part_①-3,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00004,choice,EXACT_MATCH,part_①-4,part_①-4,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00005,choice,EXACT_MATCH,part_①-5,part_①-5,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00006,choice,EXACT_MATCH,part_①-6,part_①-6,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00007,choice,EXACT_MATCH,part_①-7,part_①-7,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00008,choice,EXACT_MATCH,part_①-8,part_①-8,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00009,choice,EXACT_MATCH,part_①-9,part_①-9,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00010,choice,EXACT_MATCH,part_①-10,part_①-10,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00011,choice,EXACT_MATCH,part_①-11,part_①-11,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00012,choice,EXACT_MATCH,part_①-12,part_①-12,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00013,choice,EXACT_MATCH,part_①-13,part_①-13,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00014,choice,EXACT_MATCH,part_①-14,part_①-14,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00015,choice,EXACT_MATCH,part_①-15,part_①-15,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00016,choice,EXACT_MATCH,part_①-16,part_①-16,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00017,choice,EXACT_MATCH,part_①-17,part_①-17,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00018,choice,EXACT_MATCH,part_①-18,part_①-18,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00019,choice,EXACT_MATCH,part_①-19,part_①-19,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00020,choice,EXACT_MATCH,part_①-20,part_①-20,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00021,choice,EXACT_MATCH,part_①-21,part_①-21,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00022,choice,EXACT_MATCH,part_①-22,part_①-22,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00023,choice,EXACT_MATCH,part_①-23,part_①-23,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00024,choice,EXACT_MATCH,part_①-24,part_①-24,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00025,choice,EXACT_MATCH,part_①-25,part_①-25,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00026,choice,EXACT_MATCH,part_①-26,part_①-26,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00027,choice,EXACT_MATCH,part_①-27,part_①-27,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
